problem,prefix,wave,sigma,n_samples,output_activation,sigma_schedule,sigma_start,sigma_end,sigma_n_epochs,sigma_warmup_epochs,pred_loss_weight,loss_type,lr,n_epochs,patience,val_frac
advertising-real,sd1_s005_lr1e2,0,0.05,25.0,none,constant,,,,,0.0,regret,0.01,150,40,0.2
advertising-real,sd1_s005_lr1e3,0,0.05,25.0,none,constant,,,,,0.0,regret,0.001,150,40,0.2
advertising-real,sd1_s005_lr5e3,0,0.05,25.0,none,constant,,,,,0.0,regret,0.005,150,40,0.2
advertising-real,sd1_s01_lr1e2,0,0.1,25.0,none,constant,,,,,0.0,regret,0.01,150,40,0.2
advertising-real,sd1_s01_lr1e3,0,0.1,25.0,none,constant,,,,,0.0,regret,0.001,150,40,0.2
advertising-real,sd1_s01_lr5e3,0,0.1,25.0,none,constant,,,,,0.0,regret,0.005,150,40,0.2
advertising-real,sd1_s05_lr1e2,0,0.5,25.0,none,constant,,,,,0.0,regret,0.01,150,40,0.2
advertising-real,sd1_s05_lr1e3,0,0.5,25.0,none,constant,,,,,0.0,regret,0.001,150,40,0.2
advertising-real,sd1_s05_lr5e3,0,0.5,25.0,none,constant,,,,,0.0,regret,0.005,150,40,0.2
advertising-real,smoke_sd,0,,,none,constant,,,,,0.0,regret,0.01,1,40,0.2
bipartitematching-cora,sd1_s005_lr1e2,0,0.05,25.0,none,constant,,,,,0.0,regret,0.01,300,40,0.2
bipartitematching-cora,sd1_s005_lr1e3,0,0.05,25.0,none,constant,,,,,0.0,regret,0.001,300,40,0.2
bipartitematching-cora,sd1_s005_lr5e3,0,0.05,25.0,none,constant,,,,,0.0,regret,0.005,300,40,0.2
bipartitematching-cora,sd1_s01_lr1e2,0,0.1,25.0,none,constant,,,,,0.0,regret,0.01,300,40,0.2
bipartitematching-cora,sd1_s01_lr1e3,0,0.1,25.0,none,constant,,,,,0.0,regret,0.001,300,40,0.2
bipartitematching-cora,sd1_s01_lr5e3,0,0.1,25.0,none,constant,,,,,0.0,regret,0.005,300,40,0.2
bipartitematching-cora,sd1_s05_lr1e2,0,0.5,25.0,none,constant,,,,,0.0,regret,0.01,300,40,0.2
bipartitematching-cora,sd1_s05_lr1e3,0,0.5,25.0,none,constant,,,,,0.0,regret,0.001,300,40,0.2
bipartitematching-cora,sd1_s05_lr5e3,0,0.5,25.0,none,constant,,,,,0.0,regret,0.005,300,40,0.2
bipartitematching-cora,smoke_sd,0,,,none,constant,,,,,0.0,regret,0.01,1,40,0.2
budgetalloc-real,sd1_s005_lr1e2,0,0.05,25.0,none,constant,,,,,0.0,regret,0.01,300,40,0.2
budgetalloc-real,sd1_s005_lr1e3,0,0.05,25.0,none,constant,,,,,0.0,regret,0.001,300,40,0.2
budgetalloc-real,sd1_s005_lr5e3,0,0.05,25.0,none,constant,,,,,0.0,regret,0.005,300,40,0.2
budgetalloc-real,sd1_s01_lr1e2,0,0.1,25.0,none,constant,,,,,0.0,regret,0.01,300,40,0.2
budgetalloc-real,sd1_s01_lr1e3,0,0.1,25.0,none,constant,,,,,0.0,regret,0.001,300,40,0.2
budgetalloc-real,sd1_s01_lr5e3,0,0.1,25.0,none,constant,,,,,0.0,regret,0.005,300,40,0.2
budgetalloc-real,sd1_s05_lr1e2,0,0.5,25.0,none,constant,,,,,0.0,regret,0.01,300,40,0.2
budgetalloc-real,sd1_s05_lr1e3,0,0.5,25.0,none,constant,,,,,0.0,regret,0.001,300,40,0.2
budgetalloc-real,sd1_s05_lr5e3,0,0.5,25.0,none,constant,,,,,0.0,regret,0.005,300,40,0.2
cubic-gen,sd1_cub_lin_s005to0001_w0_lr1e2,0,0.05,25.0,none,linear_decay,0.05,0.001,400.0,0.0,0.0,regret,0.01,400,80,0.2
cubic-gen,sd1_cub_lin_s005to0001_w0_lr1e3,0,0.05,25.0,none,linear_decay,0.05,0.001,400.0,0.0,0.0,regret,0.001,400,80,0.2
cubic-gen,sd1_cub_lin_s005to0001_w0_lr5e3,0,0.05,25.0,none,linear_decay,0.05,0.001,400.0,0.0,0.0,regret,0.005,400,80,0.2
cubic-gen,sd1_cub_lin_s005to0001_w0_tanh_lr1e2,0,0.05,25.0,tanh,linear_decay,0.05,0.001,400.0,0.0,0.0,regret,0.01,400,80,0.2
cubic-gen,sd1_cub_lin_s005to0001_w0_tanh_lr1e3,0,0.05,25.0,tanh,linear_decay,0.05,0.001,400.0,0.0,0.0,regret,0.001,400,80,0.2
cubic-gen,sd1_cub_lin_s005to0001_w0_tanh_lr5e3,0,0.05,25.0,tanh,linear_decay,0.05,0.001,400.0,0.0,0.0,regret,0.005,400,80,0.2
cubic-gen,sd1_cub_lin_s005to0001_w10_lr1e2,10,0.05,25.0,none,linear_decay,0.05,0.001,400.0,10.0,0.0,regret,0.01,400,80,0.2
cubic-gen,sd1_cub_lin_s005to0001_w10_lr1e3,10,0.05,25.0,none,linear_decay,0.05,0.001,400.0,10.0,0.0,regret,0.001,400,80,0.2
cubic-gen,sd1_cub_lin_s005to0001_w10_lr5e3,10,0.05,25.0,none,linear_decay,0.05,0.001,400.0,10.0,0.0,regret,0.005,400,80,0.2
cubic-gen,sd1_cub_lin_s005to0001_w10_tanh_lr1e2,10,0.05,25.0,tanh,linear_decay,0.05,0.001,400.0,10.0,0.0,regret,0.01,400,80,0.2
